brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_year_only
5,551,1,2019,3,1197.0,90505.0,1,980000,18653.0,0.0,0,2019.0
8,319,0,2019,3,1451.0,14172.0,1,1288000,24514.0,0.0,0,2019.0
7,71,1,2020,3,1197.0,27841.0,1,581000,11368.0,0.0,0,2020.0
12,587,1,2021,1,1956.0,30203.0,1,1546000,29427.0,0.0,1,2021.0
7,334,1,2021,3,1197.0,25742.0,1,476000,9306.0,0.0,0,2021.0
2,39,1,2015,3,1198.0,91116.0,2,320000,6264.0,0.0,0,2016.0
12,6,1,2020,3,1199.0,30274.0,2,595000,11630.0,0.0,0,2020.0
10,359,0,2021,3,999.0,30195.0,1,711000,13904.0,0.0,0,2021.0
5,554,1,2022,3,1497.0,51566.0,1,1162000,22113.0,0.0,0,2022.0
5,576,1,2022,3,998.0,4763.0,1,981000,18672.0,0.0,1,2022.0
3,404,1,2023,3,1197.0,20051.0,1,890000,16940.0,0.0,1,2023.0
14,488,1,2019,3,999.0,68763.0,1,534000,10440.0,0.0,1,2020.0
3,301,1,2015,3,1197.0,63079.0,3,307000,6002.0,0.0,0,2015.0
7,525,1,2022,3,1462.0,15983.0,1,852000,16217.0,0.0,0,2022.0
7,76,1,2020,3,1197.0,55790.0,1,626000,12239.0,0.0,1,2020.0
5,554,1,2021,3,1497.0,38307.0,1,1058000,20138.0,0.0,0,2021.0
9,397,0,2022,3,999.0,18193.0,2,836000,15911.0,0.0,0,2022.0
3,686,1,2019,3,998.0,57649.0,2,729000,14252.0,0.0,0,2020.0
2,46,0,2023,3,1199.0,8376.0,1,816000,15529.0,0.0,0,2023.0
10,643,1,2022,3,999.0,13196.0,1,690000,13480.0,0.0,0,2022.0
7,245,1,2012,3,1373.0,54751.0,1,407000,13522.0,0.0,0,2012.0
0,287,1,2019,3,1198.0,27695.0,1,400000,7826.0,0.0,0,2019.0
2,133,1,2017,3,1497.0,102835.0,1,608000,13525.0,0.0,1,2017.0
2,39,1,2019,3,1199.0,37864.0,1,543000,10616.0,0.0,0,2019.0
2,142,0,2017,3,1497.0,42012.0,1,814000,15494.0,0.0,1,2017.0
3,816,1,2013,3,1197.0,31479.0,1,316000,8309.0,0.0,0,2013.0
5,560,1,2021,3,1497.0,26456.0,1,1221000,23241.0,0.0,0,2021.0
13,676,1,2021,3,1462.0,42381.0,1,862000,16407.0,0.0,1,2021.0
10,383,0,2019,3,999.0,13568.0,1,386000,7540.0,0.0,1,2020.0
7,123,0,2022,3,1462.0,21566.0,1,974000,18539.0,0.0,0,2022.0
5,558,1,2019,3,1497.0,85336.0,1,1032000,19646.0,0.0,1,2019.0
7,600,1,2015,3,1197.0,35817.0,1,377000,7379.0,0.0,1,2015.0
3,166,1,2019,1,1582.0,72781.0,1,1114000,24226.0,0.0,0,2019.0
4,153,1,2020,3,1368.0,76041.0,1,1065000,20269.0,0.0,1,2021.0
7,119,1,2016,3,1373.0,60440.0,1,478000,9345.0,0.0,0,2016.0
6,773,1,2019,1,2179.0,45984.0,1,1011000,21977.0,0.0,0,2019.0
4,145,1,2018,1,1956.0,53738.0,2,968000,25026.0,0.0,1,2018.0
7,32,1,2021,3,796.0,8945.0,1,364000,7116.0,0.0,0,2021.0
